time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),vapour_pressure_deficit_max (kPa),river_discharge (cumecs),water_level (m),reservoir_storage_pct (%),antecedent_precip_index (mm),catchment_wetness_index
01-01-2010,16.2,20.6,11.9,0.0,0.0,0.0,20.0,0.2,0.0,4.8,9.2,1002.9,0.05,0.05,16.8,3.46,1.67,1.76,2154.4,45.18,5.0,0.0,7.0
02-01-2010,16.4,21.4,11.4,0.0,0.0,0.0,20.0,0.4,1.6,10.0,15.6,1011.9,0.05,0.05,16.9,1.44,0.5,1.86,1721.0,45.16,5.0,0.0,7.0
03-01-2010,16.8,20.7,12.9,0.0,0.0,0.0,20.0,0.8,0.0,5.9,9.0,1010.4,0.05,0.05,17.3,2.19,0.88,1.86,2046.5,45.14,5.0,0.0,7.0
04-01-2010,16.8,20.4,13.1,0.0,0.0,0.0,20.0,0.8,0.0,3.7,5.7,1008.3,0.05,0.05,17.3,5.73,2.27,1.68,2254.5,44.98,5.0,0.0,7.0
05-01-2010,16.4,20.1,12.8,0.0,0.0,0.0,20.0,0.4,0.0,2.5,4.1,1008.7,0.05,0.05,17.0,5.35,2.11,1.85,2205.9,45.19,5.0,0.0,7.0
06-01-2010,16.4,18.3,14.6,0.0,0.0,0.0,20.0,0.4,0.0,1.9,3.2,1010.7,0.05,0.05,17.0,4.83,1.39,1.67,2421.5,45.23,5.0,0.0,7.0
07-01-2010,16.8,21.1,12.6,0.0,0.0,0.0,21.3,1.1,0.0,2.1,4.6,1012.8,0.05,0.05,17.3,1.06,1.07,1.51,2006.3,45.41,5.0,0.0,7.13
08-01-2010,16.8,20.6,12.9,0.0,0.0,0.0,20.0,0.8,0.0,5.2,8.3,1010.5,0.05,0.05,17.2,6.98,2.72,1.87,2107.1,45.3,5.0,0.0,7.0
09-01-2010,16.3,20.4,12.3,0.0,0.0,0.0,20.0,0.3,0.0,6.2,11.7,1011.4,0.05,0.05,16.9,5.54,2.8,1.79,2051.6,45.2,5.0,0.0,7.0
10-01-2010,15.8,19.1,12.6,0.7,0.7,1.0,20.0,-0.2,14.0,5.7,12.4,1010.5,0.05,0.05,16.5,1.0,1.05,1.55,2120.5,45.23,5.0,0.7,7.07
11-01-2010,15.8,19.3,12.4,0.0,0.0,0.0,24.9,0.8,0.0,4.2,8.7,1013.6,0.05,0.05,16.5,6.16,2.43,1.35,2123.5,45.0,5.0,0.6,7.55
12-01-2010,15.7,19.2,12.2,0.0,0.0,0.0,20.0,-0.3,13.7,5.1,8.0,1015.0,0.072,0.074,16.4,3.55,1.71,1.75,1794.4,45.23,5.0,0.5,9.25
13-01-2010,15.1,19.7,10.5,0.0,0.0,0.0,20.0,-0.9,0.0,8.9,14.2,1007.6,0.05,0.05,15.9,5.75,2.33,1.41,2049.2,45.41,6.2,0.4,7.04
14-01-2010,14.6,18.2,11.1,0.0,0.0,0.0,20.0,-1.4,14.2,10.0,15.2,1009.1,0.05,0.05,15.4,1.35,1.83,1.57,2353.5,45.31,5.0,0.4,7.04
15-01-2010,14.3,19.8,8.9,0.0,0.0,0.0,20.0,-1.7,0.0,12.1,20.5,1009.9,0.05,0.05,15.2,3.7,0.77,1.51,2128.2,45.07,5.0,0.3,7.03
16-01-2010,14.7,18.9,10.4,0.0,0.0,0.0,20.0,-1.3,0.0,7.2,11.9,1007.8,0.05,0.05,15.5,1.0,1.03,1.45,1888.4,45.36,5.0,0.3,7.03
17-01-2010,15.5,18.5,12.5,0.0,0.0,0.0,20.0,-0.5,30.7,11.1,19.3,1008.9,0.05,0.05,16.2,4.68,2.03,1.69,2163.2,45.37,5.0,0.2,7.02
18-01-2010,15.4,19.2,11.5,0.0,0.0,0.0,20.0,-0.6,0.0,7.6,12.8,1009.8,0.05,0.05,16.1,6.07,2.03,1.49,1638.8,45.31,5.0,0.2,7.02
19-01-2010,15.2,18.7,11.7,0.0,0.0,0.0,20.0,-0.8,0.0,11.6,22.0,1010.2,0.05,0.05,15.9,3.52,2.06,1.64,2105.3,45.27,5.0,0.2,7.02
20-01-2010,15.7,18.0,13.3,0.0,0.0,0.0,20.0,-0.3,0.0,9.1,16.7,1009.0,0.05,0.05,16.3,5.44,2.18,1.8,1560.2,45.23,5.0,0.1,7.01
21-01-2010,15.9,21.2,10.7,0.0,0.0,0.0,20.0,-0.1,0.0,7.5,12.5,1008.7,0.05,0.05,16.5,2.56,0.72,1.53,1764.1,45.17,5.0,0.1,7.01
22-01-2010,16.5,21.1,11.9,0.0,0.0,0.0,20.0,0.5,8.0,1.5,2.3,1010.6,0.05,0.05,17.0,5.07,1.72,1.64,1861.7,45.26,5.0,0.1,7.01
23-01-2010,15.4,19.8,10.9,0.0,0.0,0.0,20.0,-0.6,0.0,7.1,11.5,1008.1,0.05,0.05,16.1,8.1,3.41,1.69,1808.7,45.09,5.0,0.1,7.01
24-01-2010,15.2,19.5,11.0,0.0,0.0,0.0,20.0,-0.8,0.0,5.2,8.4,1011.7,0.05,0.05,16.0,5.02,2.19,1.43,2153.1,45.25,5.0,0.1,7.01
25-01-2010,15.3,18.3,12.2,0.0,0.0,0.0,20.0,-0.7,0.0,6.6,10.1,1006.9,0.05,0.05,16.0,7.37,2.21,1.72,1880.6,45.17,5.0,0.1,7.01
26-01-2010,15.4,19.2,11.6,0.0,0.0,0.0,20.0,-0.6,0.0,11.5,18.5,1010.7,0.05,0.05,16.1,6.87,1.81,1.53,1723.3,45.29,5.0,0.1,7.01
27-01-2010,15.7,20.5,10.9,0.0,0.0,0.0,20.0,-0.3,22.8,9.1,25.6,1015.8,0.05,0.05,16.4,7.49,2.88,1.87,1900.9,45.13,5.0,0.0,7.0
28-01-2010,15.4,18.9,12.0,0.0,0.0,0.0,20.0,-0.6,0.0,10.9,22.0,1010.2,0.05,0.05,16.1,2.62,0.5,1.65,1941.7,45.4,5.0,0.0,7.0
29-01-2010,15.8,18.1,13.5,0.0,0.0,0.0,20.0,-0.2,0.0,9.6,19.1,1013.7,0.05,0.05,16.4,7.46,3.74,1.74,2037.5,44.98,5.0,0.0,7.0
30-01-2010,15.4,19.5,11.3,0.0,0.0,0.0,20.0,-0.6,21.8,5.1,10.5,1007.7,0.05,0.05,16.1,4.38,1.89,1.58,1885.9,44.74,5.0,0.0,7.0
31-01-2010,17.6,21.7,13.4,0.0,0.0,0.0,20.0,1.6,0.0,13.9,29.2,1009.9,0.05,0.05,17.9,9.33,3.96,1.8,2190.1,45.01,5.0,0.0,7.0
01-02-2010,18.7,23.1,14.3,0.0,0.0,0.0,20.0,2.7,11.6,7.6,12.3,1013.2,0.05,0.05,18.9,4.3,2.5,1.87,2280.3,45.24,5.3,0.0,7.0
02-02-2010,19.4,24.2,14.5,0.0,0.0,0.0,20.0,3.4,0.0,11.3,18.3,1003.8,0.05,0.062,19.5,6.29,2.2,1.9,2123.6,45.42,5.0,0.0,7.0
03-02-2010,18.9,23.7,14.1,0.0,0.0,0.0,20.0,2.9,8.7,13.2,21.4,1013.3,0.05,0.05,19.0,3.6,2.01,1.93,2435.5,45.13,5.0,0.0,7.0
04-02-2010,18.3,22.8,13.7,0.0,0.0,0.0,20.0,2.3,0.0,4.3,8.7,1011.2,0.05,0.05,18.5,5.32,2.44,1.78,2783.1,45.09,5.0,0.0,7.0
05-02-2010,18.9,24.2,13.6,0.0,0.0,0.0,20.0,2.9,0.0,8.1,16.0,1010.5,0.05,0.05,19.1,4.03,2.05,2.12,2201.4,45.09,5.0,0.0,7.0
06-02-2010,17.5,20.8,14.3,0.0,0.0,0.0,20.0,1.5,0.0,10.6,16.0,1016.0,0.05,0.05,17.9,8.64,2.82,1.9,1723.0,45.3,5.0,0.0,7.0
07-02-2010,17.5,22.3,12.7,0.0,0.0,0.0,20.0,1.5,40.4,7.7,18.4,1007.3,0.05,0.05,17.8,8.68,3.74,1.74,2169.2,45.19,7.4,0.0,7.0
08-02-2010,17.5,22.4,12.6,0.0,0.0,0.0,20.0,1.5,0.0,16.8,26.9,1013.0,0.05,0.05,17.8,7.94,2.9,1.87,2577.1,45.28,5.0,0.0,7.0
09-02-2010,18.8,22.3,15.3,0.0,0.0,0.0,20.0,2.8,0.0,9.5,17.1,1014.4,0.05,0.05,19.0,7.29,2.55,1.88,2101.3,45.42,5.0,0.0,7.0
10-02-2010,19.6,22.9,16.2,0.0,0.0,0.0,20.0,3.6,23.7,10.6,19.1,1009.8,0.05,0.05,19.6,7.52,3.61,2.08,2228.0,45.18,11.8,0.0,7.0
11-02-2010,19.4,23.3,15.5,0.0,0.0,0.0,20.0,3.4,4.1,14.3,22.0,1005.9,0.05,0.05,19.5,6.76,2.59,1.96,1845.4,45.37,5.0,0.0,7.0
12-02-2010,18.9,22.9,14.9,0.0,0.0,0.0,20.0,2.9,12.5,4.7,8.7,1013.0,0.05,0.056,19.0,8.45,3.33,2.15,2322.5,45.25,5.0,0.0,7.0
13-02-2010,18.1,23.1,13.0,1.2,1.2,1.0,20.0,2.1,23.9,7.6,13.1,1014.7,0.05,0.05,18.3,4.74,2.43,1.83,2056.2,45.06,5.0,1.2,7.12
14-02-2010,17.8,21.8,13.7,0.0,0.0,0.0,20.0,1.8,0.0,6.1,10.9,1016.7,0.05,0.05,18.1,8.93,3.58,1.83,2557.9,45.45,5.0,1.0,7.1
15-02-2010,17.7,21.6,13.7,0.0,0.0,0.0,20.0,1.7,30.1,10.4,17.4,1007.5,0.05,0.05,18.0,10.0,3.15,1.91,2105.6,45.35,5.0,0.9,7.09
16-02-2010,18.9,23.1,14.8,0.0,0.0,0.0,20.0,2.9,0.0,14.1,28.1,1011.6,0.05,0.05,19.1,13.01,4.16,2.29,1784.8,45.24,5.0,0.7,7.07
17-02-2010,19.5,24.9,14.0,0.0,0.0,0.0,20.7,3.6,0.0,6.1,11.0,1019.1,0.05,0.05,19.5,9.12,3.68,1.79,2281.1,45.69,5.0,0.6,7.13
18-02-2010,18.8,23.4,14.2,0.7,0.7,1.0,35.1,5.8,39.5,5.1,8.0,1013.3,0.05,0.05,19.0,2.82,1.5,1.41,2123.2,45.41,19.5,1.2,8.63
19-02-2010,18.5,23.0,13.9,0.2,0.2,1.0,34.8,5.4,35.5,9.9,19.0,1013.6,0.05,0.05,18.7,2.95,1.36,1.39,1903.2,44.96,5.0,1.2,8.6
20-02-2010,18.1,22.7,13.5,0.0,0.0,0.0,20.0,2.1,29.9,13.5,23.1,1014.5,0.05,0.05,18.4,5.86,1.79,1.72,2466.0,45.34,6.1,1.1,7.11
