time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),vapour_pressure_deficit_max (kPa),river_discharge (cumecs),water_level (m),reservoir_storage_pct (%),antecedent_precip_index (mm),catchment_wetness_index
01-01-2010,27.3,30.8,23.8,0.0,0.0,0.0,20.0,11.3,3.2,7.4,11.7,1009.2,0.05,0.05,26.2,3.83,2.46,3.93,48.9,2.57,5.0,0.0,7.0
02-01-2010,27.2,30.3,24.1,0.3,0.3,1.0,20.0,11.2,5.9,1.0,1.5,1005.5,0.05,0.05,26.1,1.65,2.53,3.07,52.7,2.07,5.0,0.3,7.03
03-01-2010,26.8,29.6,24.1,0.0,0.0,0.0,20.0,10.8,0.0,7.0,12.9,1008.2,0.05,0.05,25.8,6.65,2.45,3.31,70.9,2.1,5.0,0.3,7.03
04-01-2010,26.8,30.7,22.8,0.6,0.6,1.0,20.0,10.8,24.9,2.4,3.9,1009.4,0.05,0.05,25.8,2.51,1.39,2.92,114.4,2.33,5.0,0.8,7.08
05-01-2010,26.7,30.8,22.7,0.0,0.0,0.0,20.0,10.7,0.0,6.0,9.2,1008.1,0.05,0.05,25.7,3.91,2.23,3.23,89.5,2.6,5.0,0.7,7.07
06-01-2010,26.9,30.7,23.1,0.8,0.8,1.0,32.8,13.5,27.5,8.7,13.2,1006.5,0.05,0.05,25.9,1.76,1.29,2.38,155.1,2.71,5.0,1.4,8.42
07-01-2010,27.0,30.9,23.1,0.0,0.0,0.0,20.0,11.0,0.0,2.2,4.6,1013.7,0.05,0.05,26.0,4.35,2.52,3.09,100.0,2.71,5.0,1.2,7.12
08-01-2010,27.1,29.8,24.4,0.0,0.0,0.0,20.0,11.1,0.0,11.7,19.2,1011.7,0.05,0.05,26.0,3.51,3.17,3.33,95.5,2.57,5.0,1.0,7.1
09-01-2010,27.2,30.8,23.7,0.0,0.0,0.0,20.0,11.2,0.0,4.0,7.9,1013.0,0.05,0.05,26.2,1.0,2.0,3.49,42.6,2.53,5.0,0.9,7.09
10-01-2010,27.1,30.4,23.8,0.0,0.0,0.0,20.0,11.1,19.4,14.1,22.3,1011.5,0.05,0.05,26.0,7.59,4.64,3.08,58.2,2.77,5.0,0.7,7.07
11-01-2010,27.0,30.2,23.8,0.0,0.0,0.0,20.0,11.0,0.0,6.4,15.8,1007.0,0.068,0.067,26.0,5.84,3.23,3.11,51.8,2.52,5.0,0.6,8.86
12-01-2010,27.0,30.8,23.3,0.0,0.0,0.0,20.0,11.0,0.0,6.9,12.5,1005.5,0.05,0.05,26.0,4.28,2.53,3.35,43.0,2.69,5.1,0.5,7.05
13-01-2010,27.4,30.1,24.7,0.0,0.0,0.0,20.0,11.4,0.0,5.3,8.0,1010.9,0.05,0.05,26.3,6.48,2.83,3.6,58.2,2.31,5.0,0.4,7.04
14-01-2010,27.3,30.2,24.5,0.0,0.0,0.0,20.0,11.3,20.3,7.3,17.2,1008.3,0.05,0.05,26.2,4.41,3.07,3.52,57.9,2.46,5.0,0.4,7.04
15-01-2010,27.2,30.5,23.9,0.0,0.0,0.0,20.0,11.2,20.4,9.7,14.6,1010.0,0.05,0.05,26.1,5.02,3.18,3.45,51.4,2.54,5.0,0.3,7.03
16-01-2010,26.7,29.9,23.4,0.0,0.0,0.0,20.0,10.7,0.0,6.9,12.4,1013.8,0.05,0.05,25.7,4.8,2.76,2.93,55.0,2.67,5.0,0.3,7.03
17-01-2010,26.8,29.9,23.7,0.0,0.0,0.0,20.0,10.8,0.0,7.4,12.7,1011.9,0.05,0.05,25.8,4.7,3.28,3.19,44.7,2.61,13.5,0.2,7.02
18-01-2010,26.8,32.1,21.6,0.0,0.0,0.0,20.0,10.8,0.0,10.8,19.4,1007.5,0.05,0.05,25.8,2.93,1.77,3.03,53.2,2.54,5.0,0.2,7.02
19-01-2010,27.6,31.0,24.2,0.0,0.0,0.0,23.4,12.2,20.7,11.9,21.0,1012.6,0.05,0.05,26.4,6.21,3.55,2.82,56.6,2.42,5.0,0.2,7.36
20-01-2010,27.5,31.7,23.2,0.0,0.0,0.0,20.0,11.5,2.5,3.4,7.3,1010.1,0.05,0.05,26.4,3.13,1.74,3.43,48.8,2.57,5.0,0.1,7.01
21-01-2010,27.6,31.8,23.4,0.3,0.3,1.0,21.2,11.9,0.0,11.3,17.8,1012.6,0.05,0.05,26.5,1.94,2.44,2.91,64.2,2.75,5.0,0.4,7.16
22-01-2010,27.0,30.4,23.5,0.0,0.0,0.0,20.0,11.0,0.0,2.5,4.7,1012.4,0.05,0.05,25.9,8.52,3.82,3.23,67.5,2.17,5.0,0.4,7.04
23-01-2010,26.8,31.0,22.6,0.0,0.0,0.0,20.0,10.8,0.0,5.8,9.3,1012.4,0.05,0.05,25.8,7.53,3.9,2.91,74.9,2.3,5.0,0.3,7.03
24-01-2010,26.6,30.3,22.9,0.0,0.0,0.0,20.0,10.6,0.0,7.2,12.4,1010.7,0.05,0.05,25.6,6.0,2.78,3.06,47.0,2.66,5.0,0.3,7.03
25-01-2010,27.0,31.3,22.7,0.0,0.0,0.0,20.0,11.0,0.0,6.2,10.0,1009.2,0.05,0.052,26.0,5.5,3.12,3.44,38.0,2.5,5.0,0.2,7.02
