time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),vapour_pressure_deficit_max (kPa),river_discharge (cumecs),water_level (m),reservoir_storage_pct (%),antecedent_precip_index (mm),catchment_wetness_index
01-01-2010,24.0,28.5,19.4,0.0,0.0,0.0,20.0,8.0,0.0,5.5,9.7,1008.3,0.05,0.05,23.4,2.44,2.31,2.99,10.0,1.2,5.0,0.0,7.0
02-01-2010,23.9,27.8,20.1,0.0,0.0,0.0,20.0,7.9,0.0,6.5,10.6,1008.1,0.05,0.05,23.3,4.7,2.23,2.94,10.0,1.29,5.0,0.0,7.0
03-01-2010,24.2,28.1,20.2,0.0,0.0,0.0,20.0,8.2,19.0,5.7,9.9,1008.8,0.05,0.05,23.6,5.68,2.39,2.86,10.0,0.92,5.0,0.0,7.0
04-01-2010,24.0,27.5,20.5,0.0,0.0,0.0,20.0,8.0,9.7,5.9,9.0,1002.8,0.05,0.05,23.4,6.47,2.49,3.12,10.0,0.76,5.0,0.0,7.0
05-01-2010,24.3,27.9,20.8,0.0,0.0,0.0,20.0,8.3,0.0,2.7,5.0,1009.6,0.05,0.05,23.7,1.0,2.1,3.13,10.0,1.31,5.0,0.0,7.0
06-01-2010,24.3,27.1,21.5,0.0,0.0,0.0,20.0,8.3,2.2,4.9,7.6,1008.0,0.05,0.05,23.6,5.88,3.13,3.1,10.0,0.85,5.0,0.0,7.0
07-01-2010,24.6,27.1,22.1,0.0,0.0,0.0,20.0,8.6,0.0,5.2,9.3,1010.7,0.05,0.05,23.9,1.37,2.46,3.06,10.0,1.13,5.0,0.0,7.0
08-01-2010,24.5,28.6,20.4,0.0,0.0,0.0,20.0,8.5,0.0,6.7,10.8,1010.5,0.05,0.05,23.8,3.6,2.41,2.67,10.0,1.14,5.0,0.0,7.0
09-01-2010,24.6,27.7,21.4,0.0,0.0,0.0,20.0,8.6,0.0,10.5,18.0,1008.4,0.05,0.05,23.9,4.1,2.4,3.11,10.0,1.12,5.0,0.0,7.0
10-01-2010,24.2,27.7,20.7,0.0,0.0,0.0,20.0,8.2,0.0,5.6,12.2,1013.1,0.05,0.05,23.6,6.59,3.18,2.88,10.0,1.01,5.0,0.0,7.0
11-01-2010,23.8,27.9,19.6,0.0,0.0,0.0,20.0,7.8,7.1,7.0,17.9,1006.7,0.05,0.05,23.2,4.85,2.0,2.92,10.0,1.03,5.0,0.0,7.0
12-01-2010,23.7,28.8,18.6,0.0,0.0,0.0,20.0,7.7,5.3,10.1,15.5,1011.2,0.05,0.05,23.2,4.92,2.25,2.68,10.0,1.25,5.0,0.0,7.0
13-01-2010,24.0,28.6,19.4,0.0,0.0,0.0,20.0,8.0,4.8,7.0,11.5,1008.8,0.05,0.05,23.4,5.28,2.28,3.27,10.0,0.97,5.0,0.0,7.0
14-01-2010,24.4,27.5,21.4,0.0,0.0,0.0,20.0,8.4,0.0,1.0,1.6,1011.0,0.05,0.05,23.8,1.75,1.23,2.84,10.0,1.01,5.0,0.0,7.0
15-01-2010,24.6,28.8,20.4,0.0,0.0,0.0,20.0,8.6,4.5,4.9,11.8,1012.4,0.05,0.05,23.9,6.02,4.07,2.98,10.0,0.82,5.0,0.0,7.0
16-01-2010,24.1,28.2,20.1,0.0,0.0,0.0,20.0,8.1,42.5,4.2,7.6,1011.9,0.05,0.05,23.5,4.45,2.52,3.27,10.0,0.72,5.0,0.0,7.0
17-01-2010,24.4,26.9,21.9,0.0,0.0,0.0,20.0,8.4,6.1,8.0,13.9,1011.2,0.05,0.05,23.7,3.82,2.5,2.75,10.0,1.07,5.0,0.0,7.0
18-01-2010,24.4,28.4,20.4,0.0,0.0,0.0,20.0,8.4,0.0,8.2,14.6,1002.3,0.05,0.05,23.8,6.03,3.07,2.66,10.0,1.27,5.0,0.0,7.0
19-01-2010,24.6,27.7,21.5,0.0,0.0,0.0,20.0,8.6,8.8,8.9,13.5,1007.8,0.05,0.05,23.9,4.26,3.07,3.28,10.0,1.21,5.0,0.0,7.0
20-01-2010,24.0,28.0,20.1,0.3,0.3,1.0,22.6,8.6,38.1,10.5,24.2,1011.7,0.05,0.05,23.4,3.71,2.14,2.32,27.4,0.86,5.0,0.3,7.29
21-01-2010,23.6,27.0,20.3,0.0,0.0,0.0,20.0,7.6,0.0,9.5,14.3,1011.9,0.05,0.05,23.1,6.29,2.53,2.44,29.3,0.68,5.0,0.3,7.03
22-01-2010,24.3,29.3,19.2,0.0,0.0,0.0,20.0,8.3,0.0,9.4,15.2,1004.5,0.05,0.05,23.6,5.45,3.09,2.67,27.1,1.07,15.8,0.2,7.02
23-01-2010,24.4,29.3,19.5,0.0,0.0,0.0,20.0,8.4,17.1,10.5,17.0,1007.1,0.05,0.05,23.7,10.14,4.43,2.64,10.0,0.87,5.0,0.2,7.02
24-01-2010,24.7,30.0,19.4,0.0,0.0,0.0,20.0,8.7,4.2,7.6,12.8,1012.2,0.05,0.05,24.0,4.5,2.21,3.06,10.0,1.21,5.0,0.2,7.02
25-01-2010,24.4,29.5,19.3,0.1,0.1,1.0,20.0,8.4,37.6,7.5,13.7,1012.7,0.05,0.05,23.7,2.42,1.79,2.46,14.1,0.98,5.0,0.2,7.02
26-01-2010,24.0,27.9,20.1,0.0,0.0,0.0,20.0,8.0,0.0,9.3,23.1,1004.8,0.05,0.05,23.4,5.9,3.25,2.54,13.1,0.8,5.0,0.2,7.02
27-01-2010,23.4,26.6,20.3,0.0,0.0,0.0,20.0,7.4,12.6,4.8,7.6,1006.1,0.05,0.05,22.9,5.87,2.55,2.57,13.9,1.18,5.0,0.2,7.02
28-01-2010,23.1,25.4,20.9,0.0,0.0,0.0,20.0,7.1,7.7,5.7,14.8,1012.0,0.05,0.05,22.6,6.09,3.52,2.5,10.0,1.05,5.0,0.1,7.01
29-01-2010,23.3,26.6,20.1,0.0,0.0,0.0,20.0,7.3,0.0,10.3,24.3,1012.5,0.05,0.05,22.8,3.56,1.76,2.78,10.0,0.95,5.0,0.1,7.01
30-01-2010,23.4,28.3,18.5,0.0,0.0,0.0,20.0,7.4,0.0,6.6,11.2,1014.0,0.05,0.05,22.9,3.35,2.61,2.8,10.0,1.27,16.5,0.1,7.01
31-01-2010,23.9,29.4,18.4,0.0,0.0,0.0,22.5,8.4,24.2,3.4,6.5,1007.7,0.05,0.05,23.3,6.62,3.5,2.3,10.0,1.0,5.0,0.1,7.26
01-02-2010,24.4,28.6,20.2,0.0,0.0,0.0,21.5,8.7,0.0,1.0,1.7,1010.0,0.05,0.05,23.7,4.06,3.07,2.4,10.0,0.87,5.0,0.1,7.16
02-02-2010,25.3,28.2,22.3,0.0,0.0,0.0,23.7,10.0,7.4,12.2,23.6,1011.5,0.05,0.05,24.5,5.06,2.25,2.45,10.0,0.92,5.0,0.1,7.38
03-02-2010,25.3,29.9,20.6,0.0,0.0,0.0,20.0,9.3,0.0,1.8,3.9,1011.2,0.05,0.05,24.5,7.75,3.75,3.03,10.0,0.94,5.0,0.1,7.01
04-02-2010,25.3,28.9,21.6,0.0,0.0,0.0,20.0,9.3,0.0,6.4,18.8,1008.0,0.05,0.05,24.5,4.35,1.68,2.99,10.0,0.76,11.2,0.0,7.0
05-02-2010,25.1,28.5,21.8,0.0,0.0,0.0,20.0,9.1,19.8,8.6,13.3,1012.3,0.05,0.05,24.4,4.97,2.99,2.57,10.0,1.11,5.0,0.0,7.0
06-02-2010,25.1,30.6,19.6,0.0,0.0,0.0,20.0,9.1,21.1,10.1,23.0,1006.8,0.05,0.05,24.3,7.26,4.35,2.87,10.0,0.76,12.0,0.0,7.0
07-02-2010,25.4,29.4,21.3,0.0,0.0,0.0,24.8,10.3,3.9,4.1,6.3,1010.1,0.05,0.05,24.6,5.08,2.7,2.43,10.0,1.2,7.8,0.0,7.48
08-02-2010,25.3,30.0,20.6,0.0,0.0,0.0,20.0,9.3,10.2,7.8,13.2,1013.5,0.05,0.05,24.5,7.02,2.72,2.83,10.0,0.97,5.0,0.0,7.0
09-02-2010,25.5,29.9,21.2,0.0,0.0,0.0,21.2,9.8,7.1,2.8,4.6,1011.3,0.05,0.05,24.7,7.53,2.51,2.58,10.0,0.89,5.0,0.0,7.12
