time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),vapour_pressure_deficit_max (kPa),river_discharge (cumecs),water_level (m),reservoir_storage_pct (%),antecedent_precip_index (mm),catchment_wetness_index
01-01-2010,14.3,17.3,11.3,0.0,0.0,0.0,20.0,-1.7,0.0,12.9,19.6,1012.2,0.05,0.05,15.1,3.28,1.2,1.66,1535.1,45.76,5.0,0.0,7.0
02-01-2010,14.8,17.7,11.8,0.0,0.0,0.0,20.0,-1.2,0.0,7.8,13.3,1008.2,0.05,0.05,15.5,4.5,1.25,1.59,1658.0,45.75,5.0,0.0,7.0
03-01-2010,15.5,19.0,11.9,0.0,0.0,0.0,20.0,-0.5,3.1,6.6,11.2,1011.9,0.05,0.05,16.1,6.66,2.08,1.56,1464.5,45.87,5.0,0.0,7.0
04-01-2010,16.1,20.7,11.5,0.0,0.0,0.0,20.0,0.1,0.0,11.5,18.5,1006.0,0.05,0.05,16.7,2.73,1.05,1.73,1580.5,46.01,5.0,0.0,7.0
05-01-2010,16.1,19.8,12.4,0.0,0.0,0.0,20.0,0.1,0.0,2.9,5.1,1009.0,0.05,0.05,16.7,3.11,2.34,1.64,1726.0,45.98,5.0,0.0,7.0
06-01-2010,15.3,19.4,11.1,0.0,0.0,0.0,20.0,-0.7,0.0,7.4,16.3,1008.4,0.05,0.05,16.0,2.05,1.25,1.79,1437.4,45.68,5.0,0.0,7.0
07-01-2010,14.9,18.1,11.6,0.5,0.5,1.0,20.0,-1.1,0.0,12.1,18.3,1006.5,0.05,0.05,15.6,2.36,1.19,1.41,1384.7,45.75,5.0,0.5,7.05
08-01-2010,15.3,18.5,12.0,0.0,0.0,0.0,20.0,-0.7,0.0,10.7,16.6,1004.1,0.05,0.05,16.0,3.51,1.34,1.5,1439.8,45.52,5.0,0.4,7.04
09-01-2010,16.4,20.7,12.0,0.0,0.0,0.0,20.0,0.4,0.0,2.6,4.3,1008.2,0.05,0.05,16.9,2.05,2.19,1.76,1469.9,45.67,5.0,0.4,7.04
10-01-2010,15.9,18.6,13.2,0.0,0.0,0.0,20.0,-0.1,16.1,7.2,13.8,1013.8,0.05,0.05,16.5,2.14,1.77,1.49,1453.2,45.63,5.0,0.3,7.03
