time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_mean (km/h),cloud_cover_mean (%),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),vapour_pressure_deficit_max (kPa)
01-01-2010,21.1,26,17.3,0.1,0.1,1,21.2,17.21,3.55,13.5,65,3.55,32,8.5,16,1015.1,0.131,0.179,23.2,2.07
02-01-2010,19.1,25.4,13.8,0,0,0,17.9,18.06,3.76,9.1,55,3.76,23,7.9,5,1016.3,0.13,0.178,21.6,2.28
03-01-2010,18.5,25.8,11.5,0,0,0,17.3,18.25,3.69,8.5,56,3.69,22.7,7.6,16,1015.2,0.129,0.176,20.5,2.41
04-01-2010,19.3,25.8,12.6,0,0,0,18.8,17.77,3.4,10.4,61,3.4,16.6,5.2,47,1013,0.128,0.175,21,2.22
05-01-2010,20.3,26.7,14,0,0,0,20.2,17.54,3.52,12.8,66,3.52,27,7.5,0,1011.9,0.128,0.174,21.9,2.18
06-01-2010,19.4,25.5,13.4,0,0,0,19.1,17.99,3.57,11.8,65,3.57,28.1,7.2,0,1013.4,0.127,0.173,21.6,2.05
07-01-2010,19.1,25.5,13.2,0,0,0,18.4,18.17,3.65,10.9,62,3.65,30.2,8.4,0,1015,0.126,0.172,21.2,2.04
08-01-2010,19.7,26.6,12.3,0,0,0,19.1,17.95,3.61,10.7,60,3.61,25.2,6.9,7,1014.8,0.126,0.171,21.5,2.29
09-01-2010,22.2,28.3,16.2,0,0,0,22.9,16.81,3.59,14.5,65,3.59,20.9,6.4,10,1014,0.125,0.17,23.7,2.36
10-01-2010,22.8,28.5,17.2,0,0,0,23.7,16.06,3.48,15.1,65,3.48,20.9,6.2,22,1014.6,0.124,0.169,24.4,2.32
11-01-2010,23.8,29.2,20.1,0,0,0,26.4,14.82,3.13,18.6,75,3.13,22,4.8,18,1014.9,0.124,0.168,25.5,2.05
12-01-2010,23.1,28.3,18.8,0,0,0,25.7,14.73,2.96,18.6,78,2.96,18,4.9,35,1015.2,0.124,0.167,25.1,2.01
13-01-2010,23.6,28.6,19.4,0,0,0,26,11.54,2.47,18.6,76,2.47,16.9,5.1,67,1016.1,0.124,0.166,25.2,1.99
