time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_mean (km/h),cloud_cover_mean (%),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),vapour_pressure_deficit_max (kPa)
01-01-2010,24.3,27.7,21,0,0,0,26.9,17.63,3.63,20.5,80,3.63,30.2,11.5,16,1012.6,0.279,0.304,25.6,1.34
02-01-2010,24.3,27,22.1,0.8,0.8,5,26.6,15.62,3.28,20.6,81,3.28,32.8,12.8,45,1014,0.276,0.299,25.5,1.2
03-01-2010,24.1,26.7,22,0.1,0.1,1,25.9,15.69,3.43,19.7,77,3.43,31.7,13.5,53,1014.1,0.277,0.296,25.3,1.26
04-01-2010,23.1,27.2,18.8,0,0,0,25.2,18.13,3.65,18.9,78,3.65,25.6,9,50,1012.6,0.27,0.292,24.8,1.5
05-01-2010,22.8,27.4,17.8,0,0,0,25.3,19.89,3.89,18.8,80,3.89,22,7.6,5,1011,0.262,0.288,24.7,1.49
06-01-2010,23.8,27.7,20.1,0,0,0,25.4,17.48,3.86,19.3,77,3.86,33.8,13.9,33,1011.2,0.254,0.283,24.9,1.49
07-01-2010,24.5,27,22,0.9,0.9,2,25.3,15.7,4,18.7,71,4,36.4,16.3,37,1011.9,0.248,0.279,25.3,1.53
08-01-2010,24,25.2,23.4,8.6,8.6,23,26.6,4.37,1.35,21.8,87,1.35,37.4,15.3,99,1012.3,0.292,0.278,24.3,0.86
09-01-2010,25,26.9,23.5,1.3,1.3,11,28.7,9.13,1.99,22.8,88,1.99,24.8,11.6,77,1011.8,0.326,0.285,25.3,0.75
10-01-2010,25,28.2,22.5,1.6,1.6,3,29.8,14.66,2.91,22.9,88,2.91,19.8,5.1,35,1012.8,0.321,0.29,26.3,0.95
11-01-2010,25.1,28.3,22.5,5,5,7,29.9,15.27,3,23.1,89,3,23,5.7,46,1013.8,0.338,0.296,26.5,0.89
12-01-2010,25.7,28.9,22.6,0.3,0.3,3,30.3,17.15,3.48,22.9,85,3.48,23.4,6.8,41,1014,0.333,0.304,27,1.28
13-01-2010,25.7,28.1,23.4,5.2,5.2,8,30.5,14.64,2.93,23.5,88,2.93,21.6,6.9,47,1014.6,0.348,0.31,27,0.92
14-01-2010,26.1,29,24.1,0.1,0.1,1,30,18.3,3.8,22.6,82,3.8,24.8,10.1,37,1015.7,0.34,0.322,27.3,1.35
15-01-2010,25.2,27.6,23.1,0,0,0,27.6,18.29,3.87,21.2,79,3.87,33.8,14.9,38,1017,0.319,0.318,26.6,1.28
16-01-2010,25.3,27.8,23.5,0,0,0,27,17.99,4.24,19.9,72,4.24,36,15.5,40,1017.8,0.303,0.312,26.3,1.37
17-01-2010,25.3,27.8,23.3,0,0,0,27.8,16.64,3.73,20.5,75,3.73,31.7,12,41,1017.6,0.291,0.307,26.3,1.34
18-01-2010,25.1,27.9,22.8,0.6,0.6,4,28.2,16.03,3.36,21.4,81,3.36,27.4,10.2,52,1016.6,0.288,0.301,26.3,1.24
19-01-2010,24.9,28.1,22.6,0,0,0,27.7,19.03,3.94,20.8,79,3.94,31,11.7,28,1014.8,0.282,0.297,26.3,1.41
20-01-2010,24.6,27.8,21.8,0,0,0,26.4,20.05,4.36,19.3,74,4.36,30.2,12.8,16,1015.7,0.271,0.291,26.1,1.6
21-01-2010,24,27.5,20.8,0,0,0,25,20.62,4.62,17.6,68,4.62,31.3,13.4,7,1015.1,0.259,0.284,25.5,1.72
