time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_mean (km/h),cloud_cover_mean (%),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),vapour_pressure_deficit_max (kPa)
01-01-2010,14.6,22,8.2,0,0,0,12.6,14.5,2.75,8.1,68,2.75,28.4,10.2,0,1016.3,0.072,0.17,16.7,1.57
02-01-2010,14.2,20.5,8.4,0,0,0,13.3,14.15,2.33,8.9,73,2.33,14.8,4.4,56,1018.7,0.072,0.17,17,1.29
03-01-2010,13.6,16.8,11.6,3.3,3.3,10,12.7,4.76,1.02,10.4,81,1.02,23.8,7.6,75,1018.4,0.088,0.17,15.7,0.68
04-01-2010,12.3,17.2,9,0,0,0,9.9,11.52,1.74,9.8,85,1.74,41.4,16.6,25,1017.1,0.114,0.17,14.8,0.76
05-01-2010,13.4,19.7,9.1,0,0,0,11.1,14.73,2.41,9,77,2.41,38.9,14.4,0,1013.7,0.107,0.17,15.3,1.18
06-01-2010,13.2,19.5,7.4,0,0,0,12.4,13.96,2.25,10.2,84,2.25,19.4,6.6,24,1015.5,0.101,0.17,15.9,0.95
07-01-2010,13.1,19.4,7,0,0,0,12.5,14.21,2.22,9.6,81,2.22,16.9,4.1,26,1017.4,0.095,0.17,15.9,1.03
08-01-2010,13.1,19.6,6.8,0,0,0,12.4,14.16,2.29,9.9,83,2.29,13.3,5.4,27,1017,0.09,0.17,16.4,0.95
09-01-2010,12.6,18.2,7.9,0,0,0,11.3,13.9,2.09,9.7,84,2.09,23.4,8.4,30,1016.7,0.087,0.17,15.9,0.84
10-01-2010,12.6,18.9,7.2,0,0,0,11.3,14.28,2.21,9.5,83,2.21,21.2,8.1,10,1017.5,0.084,0.17,15.8,0.92
11-01-2010,12.6,19.2,6.9,0,0,0,10.9,15.13,2.43,8.4,78,2.43,24.8,9.3,0,1017.7,0.082,0.17,15.7,1.11
12-01-2010,12.6,19.3,5.3,0.8,0.8,2,11.2,15.14,2.38,7.8,75,2.38,22.3,5.7,18,1016.6,0.081,0.169,15.9,1.18
13-01-2010,13.5,18.7,10,6.1,6.1,8,12.4,11.64,2.05,9.5,78,2.05,24.1,6.7,47,1017.2,0.163,0.17,16.1,1.01
14-01-2010,13,19.6,7.3,0,0,0,11.5,15.1,2.43,9.3,80,2.43,29.2,9.6,24,1021.8,0.158,0.171,15.4,1.06
15-01-2010,13.8,20.6,8.8,0,0,0,11.9,14.74,2.53,9,75,2.53,27.4,11.4,78,1021.7,0.143,0.172,15.5,1.26
16-01-2010,13.6,20.9,7.4,0,0,0,11.9,15.49,2.6,9,76,2.6,27.4,10,22,1022,0.13,0.172,15.5,1.27
17-01-2010,12.9,19.7,6.9,0,0,0,11.9,14.15,2.28,9.7,83,2.28,18,6.2,23,1021.9,0.12,0.172,15.7,1.02
18-01-2010,12.2,19.5,6.6,0,0,0,11,13.27,2.11,9.4,85,2.11,22.3,7.2,35,1020.5,0.111,0.172,15.4,1.06
19-01-2010,12.1,19.3,7.2,0,0,0,10.9,12.68,1.95,9.7,87,1.95,22.7,8.1,46,1018.6,0.105,0.172,15,0.97
20-01-2010,12,18.3,7.8,0,0,0,11.2,10.05,1.54,10.5,91,1.54,17.3,6.9,57,1019.6,0.102,0.172,15,0.68
21-01-2010,12.5,18.9,8.3,0,0,0,11.5,11,1.66,10.7,90,1.66,25.6,8.2,75,1018.5,0.1,0.172,15.5,0.75
22-01-2010,13.4,20.2,8.4,0,0,0,13,11.25,1.81,11.2,88,1.81,19.1,5.5,59,1016.9,0.097,0.172,15.9,0.92
23-01-2010,13.9,21.6,8.5,0,0,0,13.9,13.24,2.19,11.5,87,2.19,17.6,4.3,50,1016.9,0.094,0.172,17.3,1.03
24-01-2010,15.4,23.5,8.7,0,0,0,15.3,13.93,2.44,12.2,84,2.44,16.6,5.9,44,1015.1,0.09,0.172,18.2,1.36
25-01-2010,16.9,23.6,10.9,0,0,0,17.3,15.71,2.76,13.2,81,2.76,14.4,5.2,6,1016.6,0.087,0.172,19.9,1.31
26-01-2010,16.4,23.6,10.4,0,0,0,16.2,15.08,2.7,12.9,82,2.7,23,8.3,53,1017.5,0.084,0.171,19.5,1.47
27-01-2010,16.6,24.9,9.2,0,0,0,16,15.34,2.96,11.6,76,2.96,20.9,8.2,38,1017,0.082,0.171,19.6,1.89
28-01-2010,17.7,25.1,11.1,0,0,0,17.2,13.49,2.67,11.4,70,2.67,19.1,6.5,66,1016.4,0.08,0.171,19.9,1.95
29-01-2010,18.2,26,11.8,0.4,0.4,1,17.6,15.03,2.93,11.2,67,2.93,22,7,8,1016.1,0.079,0.17,20.5,2.05
30-01-2010,16.7,23.4,10.8,0,0,0,15,16.79,3.48,9.4,64,3.48,34.6,11.1,4,1016.8,0.079,0.17,19.6,1.65
31-01-2010,15.2,22.2,8.5,0,0,0,13.3,16.88,3.24,7.5,64,3.24,22.7,9.4,38,1016.4,0.078,0.17,18.4,1.79
01-02-2010,15.5,22.3,9.6,0,0,0,14.2,15.87,2.94,8,64,2.94,15.5,6.2,25,1016.4,0.076,0.17,18.5,1.73
02-02-2010,15.6,23.5,7.8,0,0,0,13.8,17.24,3.39,7.9,64,3.39,27,9,0,1016,0.076,0.169,18.6,1.96
03-02-2010,15.4,22.9,8.2,0,0,0,13.3,17.5,3.52,6.8,61,3.52,30.2,9.4,0,1016.2,0.075,0.169,18.5,1.99
04-02-2010,16.2,24.2,8.6,0,0,0,13.7,17.47,3.95,5.8,54,3.95,31.7,11,30,1016.3,0.074,0.169,18.7,2.17
05-02-2010,17.5,25.4,10.4,0,0,0,15.3,17.01,4.04,7.5,54,4.04,33.5,11.4,18,1016.1,0.074,0.168,19.7,2.17
06-02-2010,18.9,27.8,10.6,0,0,0,17.4,17.37,4,8.9,57,4,25.6,9.4,15,1015.9,0.073,0.168,21.1,2.8
07-02-2010,20.2,27.6,12.5,0,0,0,19.6,15.84,3.34,10.3,56,3.34,16.6,5.1,54,1015.8,0.072,0.168,22.2,2.57
08-02-2010,19.7,25.2,16.4,5.7,5.7,6,18.9,8.47,2.64,12,63,2.64,35.3,10,100,1011.2,0.079,0.168,21.3,1.94
09-02-2010,17.4,23,10.8,8.5,8.5,11,16.2,13.98,2.76,11.5,71,2.76,40.7,13.4,48,1010.1,0.228,0.17,19.5,1.65
10-02-2010,16.6,21.2,11.5,0.6,0.6,3,16.5,12.05,2.2,13.1,81,2.2,23,7.8,66,1015.6,0.216,0.173,18.5,1.08
11-02-2010,15.9,21.7,10.3,0,0,0,15.2,17.73,3.08,10.7,74,3.08,18.7,7,9,1017.3,0.193,0.175,18.4,1.33
12-02-2010,16.3,22.5,10.9,0,0,0,15.8,15.48,2.75,10.5,71,2.75,14.4,5.3,29,1017,0.168,0.175,18.5,1.45
13-02-2010,16.7,22.8,10.6,0,0,0,16.2,17.05,3.13,11.4,73,3.13,25.9,7.7,38,1015.8,0.148,0.175,18.8,1.37
14-02-2010,16,22.8,9.3,0,0,0,14.6,19,3.55,8.9,66,3.55,25.9,9.2,0,1014,0.129,0.175,18.4,1.78
15-02-2010,16.2,23.3,8.8,0,0,0,15.1,16.62,3.13,9.4,68,3.13,22.3,7,16,1013.4,0.113,0.175,18.3,1.81
16-02-2010,17.8,25.2,10.8,0,0,0,16.7,18.71,3.78,8.6,59,3.78,19.1,6.5,3,1014.5,0.101,0.174,20.1,2.26
17-02-2010,16.2,23.3,9.4,0,0,0,14.2,19.12,3.91,7.5,58,3.91,31.7,10.7,4,1015.9,0.091,0.174,19.1,1.74
18-02-2010,16,23.6,9.3,0,0,0,13.4,19.58,4.27,5.3,51,4.27,34.9,11.7,0,1014.6,0.085,0.173,18.9,2.05
19-02-2010,16.5,24.6,8.4,0,0,0,14.5,19.72,4.1,6,54,4.1,27,8.8,0,1015.5,0.081,0.172,19.7,2.27
20-02-2010,17.7,26.2,9.9,0,0,0,15.5,19.94,4.49,6,50,4.49,29.2,10.1,0,1015.2,0.079,0.172,20.4,2.58
21-02-2010,19.2,28.1,11,0,0,0,17.1,19.95,4.79,7.3,49,4.79,33.8,11,17,1013.6,0.077,0.171,21.3,2.86
