time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_mean (km/h),cloud_cover_mean (%),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),vapour_pressure_deficit_max (kPa)
01-01-2010,22.9,28.3,18.3,0,0,0,22.4,18.87,4.51,12.2,53,4.51,29.2,9.4,13,1014.3,0.132,0.162,25.1,2.5
02-01-2010,21.5,27.7,16,0,0,0,20.6,18.94,4.35,10.2,50,4.35,27.4,8.1,0,1015.7,0.131,0.161,23.9,2.46
03-01-2010,21,28.2,14.6,0,0,0,19.4,19.55,4.63,7,44,4.63,22.7,8.1,14,1015.3,0.129,0.159,23.2,3.01
04-01-2010,22.9,29.8,16.3,0,0,0,21.5,18.99,4.79,8.6,42,4.79,29.9,8.1,11,1013.4,0.128,0.158,23.4,3.08
05-01-2010,23.2,29.7,17,0,0,0,22.1,18.8,4.69,9.7,45,4.69,28.1,8.1,22,1011.8,0.126,0.157,24.6,3.02
06-01-2010,22.1,27.7,16.6,0,0,0,21.3,19.12,4.44,11,51,4.44,31.3,8.6,11,1012.7,0.126,0.156,24.4,2.49
07-01-2010,21.2,26.7,14.5,0,0,0,20.3,17.38,4.13,10.5,52,4.13,25.6,8.5,29,1014,0.125,0.155,23.5,2.16
08-01-2010,22.1,28.3,15.7,0,0,0,22.3,19.18,4.12,12.9,60,4.12,23.8,6.6,10,1014.3,0.124,0.154,24.4,2.54
09-01-2010,23.4,27.6,20.1,0,0,0,23.8,9.08,2.71,14.3,57,2.71,22,6.9,87,1013.9,0.123,0.154,24.7,2
10-01-2010,24,28.7,19.2,0,0,0,25,14.04,3.6,16.6,65,3.6,28.8,9.5,41,1014.2,0.123,0.153,25.6,2.05
11-01-2010,23.9,27.8,19.9,0,0,0,25.8,13.43,3.12,18.8,74,3.12,28.1,9.5,57,1015,0.126,0.153,25.7,1.69
12-01-2010,24.8,30.1,20,0.1,0.1,1,27,15.04,3.45,18.5,71,3.45,25.9,7.3,61,1014.9,0.128,0.152,26.5,2.3
13-01-2010,23.6,28.6,20.6,11.7,11.7,15,26.2,11.7,2.54,19.3,78,2.54,28.8,6.7,66,1015.7,0.181,0.152,25.3,1.76
14-01-2010,22.6,27.5,20.2,3.2,3.2,14,25.5,11.87,2.44,19.8,85,2.44,22.7,6.6,76,1017.6,0.318,0.163,24.4,1.37
15-01-2010,22.3,26.6,20.2,6.8,6.8,9,24.7,12.28,2.5,19.6,85,2.5,28.1,9,52,1019.1,0.311,0.178,24.1,1.16
16-01-2010,22.7,27.4,19.5,0,0,0,23.8,18.27,3.97,16,69,3.97,31.3,8.7,23,1020,0.31,0.196,24.3,2.08
17-01-2010,22.2,27.9,16.3,0,0,0,22,19.78,4.35,12,54,4.35,27,7.3,4,1019.2,0.27,0.2,23.7,2.38
18-01-2010,22.6,28.2,16.9,0,0,0,22.3,19.38,4.26,11.3,51,4.26,23.4,6.3,9,1018,0.246,0.2,23.8,2.51
19-01-2010,21.9,28.2,15.9,0,0,0,20.8,20.22,4.7,9.2,48,4.7,26.3,8.1,1,1016.2,0.227,0.198,23.4,2.78
20-01-2010,20.8,28,14.2,0,0,0,18.6,21.16,5.12,4.6,38,5.12,27,8.7,0,1017,0.21,0.195,22.3,3.08
21-01-2010,20.9,28.1,13.3,0,0,0,18.7,21.24,5.2,4.8,38,5.2,27.4,9.1,0,1016.3,0.196,0.192,21.7,3.13
22-01-2010,20.4,27.5,13.9,0,0,0,18.5,21.11,4.9,6.1,42,4.9,25.9,8.4,1,1015.9,0.185,0.189,21.6,2.82
23-01-2010,20.8,27.4,14.3,0,0,0,20,20.93,4.6,10.5,56,4.6,28.1,8.7,0,1015.9,0.175,0.187,22.1,2.62
24-01-2010,21.1,27.5,14.8,0,0,0,20.4,20.83,4.56,10.7,56,4.56,28.1,8.5,0,1014.7,0.167,0.184,22.9,2.65
25-01-2010,21.5,27.7,15.7,0,0,0,20.6,19.83,4.66,10.9,54,4.66,29.5,9.9,4,1015.1,0.16,0.182,23.3,2.63
26-01-2010,21.6,27.6,14.7,0,0,0,20.4,20.11,4.74,9.7,49,4.74,33.1,9.2,9,1016.1,0.154,0.179,23.2,2.6
27-01-2010,21.7,26.7,15,0,0,0,20.8,15.27,3.88,10.7,52,3.88,30.6,8.3,52,1016.3,0.149,0.177,23,2.29
28-01-2010,22.5,27.1,18.2,0,0,0,22.1,15.44,3.75,12,54,3.75,33.1,8,82,1016.3,0.146,0.175,23.9,2.39
29-01-2010,22.4,27.6,17.3,0,0,0,22.2,16.71,3.91,12.8,57,3.91,28.1,8,60,1016.3,0.143,0.174,24.1,2.34
30-01-2010,22.3,28.8,16.1,0,0,0,20.8,21.4,5.21,7.9,45,5.21,31.3,9.3,10,1016.3,0.139,0.172,23.9,3.14
31-01-2010,23,29.2,17.4,0,0,0,21.1,21.54,5.37,5.8,35,5.37,24.1,8,8,1015.8,0.136,0.169,23.8,3.19
01-02-2010,22.1,29,14.5,0,0,0,21.1,21.2,5.12,10.4,50,5.12,28.4,9.6,27,1015.3,0.133,0.167,24.1,2.76
02-02-2010,23.3,29.6,17,0,0,0,22.4,20.52,5.22,11.6,51,5.22,35.3,11.2,8,1014.4,0.131,0.165,25,2.96
03-02-2010,23.7,30,17.7,0,0,0,22.5,20.26,5.45,10.9,48,5.45,36.7,11.6,6,1014.1,0.13,0.163,25.4,3.15
04-02-2010,23.6,29.6,18,0,0,0,22,21.11,5.82,9.6,43,5.82,36.7,12.4,3,1014.8,0.128,0.161,25.5,3.01
05-02-2010,23.8,29.8,18,0,0,0,22.8,21.06,5.47,11,47,5.47,32.8,10.7,2,1015.5,0.127,0.16,25.7,3.04
06-02-2010,24,30.1,17.7,0,0,0,23.7,18.9,4.82,12.3,51,4.82,29.5,8.5,29,1016.1,0.126,0.158,25.7,3
07-02-2010,23.7,30.2,16.8,0,0,0,23.7,21.03,4.99,12.9,54,4.99,27,8.4,22,1016.1,0.125,0.157,26,3.03
08-02-2010,23.7,30.3,16.4,0,0,0,23.3,22.08,5.34,11.4,51,5.34,26.3,8.7,15,1013.6,0.124,0.155,26.2,3.25
09-02-2010,24.4,30.9,18.3,0,0,0,22.9,22.24,5.94,8.5,40,5.94,30.6,10.6,34,1012,0.123,0.154,26.5,3.55
10-02-2010,24.6,31.4,18.5,0,0,0,23.1,21.96,6.09,9.2,40,6.09,33.1,11.4,25,1012.3,0.122,0.152,26.7,3.54
11-02-2010,24.3,31,18.1,0,0,0,22.9,21.87,6.03,10.9,47,6.03,37.8,13.6,45,1014,0.122,0.151,26.6,3.44
12-02-2010,24.7,31.8,18.3,0,0,0,23.9,21.96,5.77,11.8,49,5.77,30.2,12.2,32,1014.6,0.121,0.15,27.2,3.55
13-02-2010,25.7,32.7,19.1,0,0,0,25.2,21.63,5.97,12.7,49,5.97,29.5,11.5,20,1012.9,0.121,0.149,27.8,3.67
14-02-2010,26.9,33.9,20.4,0,0,0,26.2,21.08,6,11.1,41,6,27.4,9.8,19,1011.5,0.12,0.148,28.9,4.1
