time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_mean (km/h),cloud_cover_mean (%),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),vapour_pressure_deficit_max (kPa)
01-01-2010,14.6,21.9,7.3,0,0,0,12.5,15.54,2.88,4.8,56,2.88,18.7,6.1,0,1016.7,0.148,0.151,17.5,1.86
02-01-2010,14.7,21.4,8.7,0,0,0,12.2,15.39,3.24,4.9,54,3.24,28.1,9.4,44,1018.3,0.147,0.151,16.8,1.77
03-01-2010,14.7,18.3,11.8,3.7,3.7,6,13.6,7.07,1.55,9.4,71,1.55,21.6,6.7,72,1018.3,0.18,0.151,16.8,0.93
04-01-2010,13.4,20,9.8,0,0,0,11.6,14.37,2.56,9,78,2.56,30.6,10.8,39,1018.1,0.192,0.152,16.6,1.33
05-01-2010,13.3,20.3,8,0,0,0,11.3,15.69,2.69,7.9,74,2.69,28.8,10.2,0,1015.2,0.186,0.152,16,1.41
06-01-2010,13.8,20.8,6.6,0,0,0,12.5,15.83,2.65,7.8,71,2.65,15.1,5.7,0,1015.5,0.181,0.152,16.5,1.45
07-01-2010,13.7,20.6,7.6,0,0,0,12.1,15.87,2.76,7.9,71,2.76,27.4,8.4,0,1016.9,0.176,0.152,16.1,1.37
08-01-2010,13.2,19.6,7,0,0,0,11.9,15.81,2.56,7.6,72,2.56,16.9,5.5,3,1017.1,0.172,0.152,16.2,1.27
09-01-2010,12.5,19.3,6.8,0,0,0,10.8,15.98,2.69,6.8,71,2.69,20.9,7,13,1017,0.168,0.152,16,1.35
10-01-2010,11.8,19.2,5.6,0,0,0,10,16.04,2.63,5.9,71,2.63,16.2,5.8,20,1017.6,0.165,0.152,15.4,1.37
11-01-2010,12.4,20.1,5.8,0,0,0,10.5,16.33,2.74,5.4,67,2.74,17.3,6,0,1017.7,0.162,0.152,15.5,1.56
12-01-2010,13.6,20.1,8.1,1.4,1.4,8,12,13.4,2.43,8.2,72,2.43,26.3,8.8,27,1015.9,0.163,0.152,15.9,1.24
13-01-2010,13.9,19.3,9.7,1.2,1.2,3,12.5,12.41,2.25,9.1,75,2.25,30.2,8.2,50,1017.4,0.19,0.153,16.5,1.15
14-01-2010,13,19.5,7.7,0,0,0,11.1,16.2,2.76,6.8,69,2.76,20.5,8.4,2,1022.4,0.185,0.153,16,1.32
15-01-2010,13.6,21,7.6,0,0,0,11.9,15.73,2.73,6.9,68,2.73,20.5,6.7,84,1022.6,0.179,0.153,16.2,1.62
16-01-2010,14,21.9,7.1,0,0,0,12.4,16.45,2.83,6.5,65,2.83,16.2,5.4,52,1022.5,0.174,0.153,16.7,1.74
17-01-2010,14.4,22,7,0,0,0,13,16.65,2.98,7.7,68,2.98,16.9,6,0,1021.5,0.169,0.153,16.7,1.62
18-01-2010,15.4,22.2,8.7,0,0,0,14.1,16.75,2.93,7.9,64,2.93,16.6,5.6,0,1020.1,0.166,0.153,16.8,1.67
19-01-2010,15.2,22.9,7.2,0,0,0,14.3,16.55,2.89,8.3,67,2.89,14.8,3.9,25,1018.3,0.163,0.153,17.2,1.74
20-01-2010,15.9,23.2,9.7,0,0,0,15,16.75,3.08,8.9,66,3.08,16.9,5.3,0,1019.1,0.16,0.153,17.8,1.76
21-01-2010,16.8,24,9.4,0,0,0,15.8,16.82,3.03,8.5,62,3.03,18.4,4.9,10,1018.2,0.157,0.153,18.4,1.99
22-01-2010,16.6,24.5,10.4,0,0,0,15.5,15.37,3.12,9,64,3.12,22,7,47,1016.5,0.154,0.153,18.7,2.01
23-01-2010,17.5,25,10.5,0,0,0,16.1,16.94,3.52,8.8,61,3.52,23,8.5,0,1016.2,0.153,0.152,19.3,2.17
