time,precipitation_sum (mm),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),soil_moisture_0_to_7cm_mean (m³/m³),slope_deg,elevation_m,soil_depth_m,geology_susceptibility,ndvi,land_use,seismic_pga (g),pore_water_pressure (kPa),distance_to_road (km),distance_to_stream (km),aspect_deg,curvature,rain_3d_sum (mm),rain_7d_sum (mm),rain_14d_sum (mm),antecedent_precip_index (mm)
01-01-2010,0.2,10.3,15.8,6.3,67.3,4.3,0.3473,31.0,1949.0,2.57,0.738,0.365,3,0.0046,17.18,1.3,0.33,60.9,0.014,0.2,0.2,0.2,0.2
02-01-2010,0.6,5.2,8.2,0.1,50.8,17.1,0.1116,49.1,1990.0,2.15,0.665,0.424,0,0.0002,7.41,4.15,0.68,19.4,-0.028,0.8,0.8,0.8,0.77
03-01-2010,0.4,7.4,13.4,2.9,51.6,7.5,0.05,31.7,2068.0,1.81,0.729,0.258,1,0.0106,2.06,1.56,0.05,351.0,0.388,1.2,1.2,1.2,1.05
04-01-2010,0.6,6.8,10.2,3.3,62.2,8.2,0.3112,41.6,2070.0,2.47,0.749,0.61,3,0.0077,15.77,3.95,0.56,118.6,0.004,1.6,1.8,1.8,1.5
05-01-2010,0.6,5.0,12.5,-0.8,61.9,9.8,0.3044,48.1,1984.0,2.4,0.764,0.356,1,0.0036,15.79,2.93,0.21,64.5,0.203,1.6,2.4,2.4,1.87
06-01-2010,0.3,4.6,7.7,0.8,63.0,12.0,0.1284,27.9,2021.0,2.19,0.684,0.384,0,0.0061,7.53,0.1,0.21,48.1,-0.258,1.5,2.7,2.7,1.89
07-01-2010,0.2,6.4,14.2,-0.6,61.9,11.4,0.2599,27.3,2036.0,1.45,0.73,0.256,0,0.0131,12.71,2.26,0.74,268.4,-0.068,1.1,2.9,2.9,1.81
08-01-2010,0.3,4.5,8.4,-1.6,74.1,7.9,0.1709,32.9,2067.0,2.3,0.676,0.414,2,0.0215,7.95,5.82,0.09,280.7,-0.142,0.8,3.0,3.2,1.84
09-01-2010,0.7,7.8,11.2,4.6,54.4,5.9,0.2557,31.5,2115.0,2.11,0.735,0.234,1,0.0283,15.69,0.52,1.36,9.1,-0.003,1.2,3.1,3.9,2.26
10-01-2010,0.3,4.2,9.5,-2.5,55.1,0.8,0.1337,38.9,2080.0,1.73,0.702,0.479,1,0.0054,5.81,0.78,0.05,217.1,0.113,1.3,3.0,4.2,2.22
11-01-2010,0.3,7.4,15.3,2.0,72.2,27.3,0.2657,56.7,2130.0,2.5,0.778,0.37,0,0.0067,11.26,0.15,0.45,41.5,-0.009,1.3,2.7,4.5,2.19
12-01-2010,0.1,7.8,10.9,1.6,54.1,2.4,0.4124,35.8,2065.0,1.57,0.708,0.416,0,0.0161,22.98,0.89,1.14,184.6,-0.207,0.7,2.2,4.6,1.96
13-01-2010,0.3,3.2,9.4,-0.2,56.8,3.5,0.2413,31.1,2021.0,1.97,0.742,0.326,3,0.0015,10.7,1.2,3.24,244.9,0.347,0.7,2.2,4.9,1.97
14-01-2010,0.9,7.2,14.6,3.3,49.5,13.6,0.0713,36.0,2023.0,1.73,0.672,0.257,1,0.0146,5.28,0.46,1.51,140.6,0.109,1.3,2.9,5.8,2.57
15-01-2010,0.2,6.6,14.5,0.1,49.8,10.6,0.2084,50.2,2034.0,1.96,0.775,0.311,0,0.0011,6.75,1.11,0.62,44.2,-0.195,1.4,2.8,5.8,2.39
16-01-2010,0.1,4.9,12.4,-0.8,75.0,6.6,0.2265,39.7,2079.0,1.87,0.752,0.396,0,0.036,12.6,0.27,1.39,166.9,-0.19,1.2,2.2,5.3,2.13
17-01-2010,0.3,4.1,8.6,0.6,54.4,3.7,0.1028,46.2,2031.0,1.47,0.68,0.467,0,0.0055,4.5,0.71,0.32,35.8,0.808,0.6,2.2,5.2,2.11
18-01-2010,0.4,8.1,15.6,2.1,49.3,0.8,0.2224,37.7,2073.0,1.6,0.728,0.501,0,0.0107,11.96,2.91,0.05,18.8,0.582,0.8,2.3,5.0,2.19
