time,precipitation_sum (mm),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),soil_moisture_0_to_7cm_mean (m³/m³),slope_deg,elevation_m,soil_depth_m,geology_susceptibility,ndvi,land_use,seismic_pga (g),pore_water_pressure (kPa),distance_to_road (km),distance_to_stream (km),aspect_deg,curvature,rain_3d_sum (mm),rain_7d_sum (mm),rain_14d_sum (mm),antecedent_precip_index (mm)
01-01-2010,0.0,14.3,21.4,9.7,67.6,9.5,0.1545,34.6,1404.0,2.82,0.619,0.482,3,0.0127,6.27,1.86,1.39,29.3,0.201,0.0,0.0,0.0,0.0
02-01-2010,0.1,11.1,15.0,4.3,58.5,10.4,0.162,41.5,1464.0,2.9,0.654,0.479,1,0.0078,7.34,7.44,0.98,185.7,-0.115,0.1,0.1,0.1,0.1
03-01-2010,0.4,13.0,16.6,7.6,60.4,13.7,0.2161,32.1,1383.0,2.35,0.568,0.513,1,0.0198,11.75,1.72,0.29,235.3,0.12,0.5,0.5,0.5,0.49
04-01-2010,0.7,11.4,15.4,6.7,59.0,4.4,0.2409,35.7,1457.0,3.13,0.597,0.405,3,0.0013,12.16,7.27,0.45,165.5,-0.28,1.2,1.2,1.2,1.11
05-01-2010,0.3,10.6,15.8,4.7,53.9,0.8,0.2263,41.0,1411.0,3.28,0.547,0.334,0,0.0149,10.51,1.92,0.07,144.1,0.234,1.4,1.5,1.5,1.25
06-01-2010,0.1,11.1,16.4,6.7,73.3,6.5,0.1608,35.4,1433.0,3.22,0.539,0.186,2,0.0101,11.72,3.69,1.48,250.5,0.157,1.1,1.6,1.6,1.16
07-01-2010,0.2,10.9,18.7,6.3,62.4,6.8,0.1487,26.1,1439.0,2.21,0.657,0.561,0,0.0384,7.29,0.61,0.09,62.8,-0.182,0.6,1.8,1.8,1.18
08-01-2010,0.2,9.7,15.0,2.9,59.9,1.8,0.267,42.5,1406.0,3.51,0.652,0.394,0,0.0037,17.53,0.67,0.09,354.1,0.397,0.5,2.0,2.0,1.21
09-01-2010,0.2,11.0,14.9,4.7,68.3,10.2,0.2081,14.4,1532.0,3.23,0.605,0.266,3,0.0235,9.09,1.07,2.8,32.4,-0.024,0.6,2.1,2.2,1.23
10-01-2010,0.4,10.5,14.6,5.0,69.5,3.1,0.2613,26.5,1490.0,3.11,0.548,0.258,0,0.0338,16.07,2.47,0.31,25.6,0.381,0.8,2.1,2.6,1.44
11-01-2010,0.1,13.6,17.6,9.2,60.5,8.5,0.1657,27.2,1428.0,3.06,0.576,0.444,1,0.0192,6.67,0.1,0.56,235.7,-0.245,0.7,1.5,2.7,1.33
12-01-2010,1.1,15.2,20.6,11.2,58.1,5.9,0.1463,35.6,1361.0,2.69,0.56,0.625,0,0.0014,5.17,0.58,0.35,260.1,-0.15,1.6,2.3,3.8,2.23
13-01-2010,0.3,10.8,15.6,6.3,61.5,7.8,0.0608,36.2,1436.0,1.93,0.553,0.443,0,0.0126,0.43,1.03,0.42,137.7,-0.353,1.5,2.5,4.1,2.19
14-01-2010,0.1,9.5,15.1,5.7,56.4,7.8,0.283,37.3,1380.0,2.95,0.56,0.324,1,0.0082,15.49,8.44,1.75,197.3,-0.404,1.5,2.4,4.2,1.96
15-01-2010,0.0,12.1,18.6,6.1,54.2,5.3,0.1709,23.3,1434.0,2.55,0.571,0.376,2,0.018,11.15,3.59,0.05,240.4,-0.111,0.4,2.2,4.2,1.67
16-01-2010,0.0,15.5,19.8,10.5,52.8,4.5,0.0948,35.9,1427.0,3.07,0.53,0.441,0,0.0091,4.27,5.22,0.88,74.4,-0.252,0.1,2.0,4.1,1.42
17-01-2010,0.0,8.1,12.1,1.3,52.5,12.0,0.2644,35.8,1461.0,2.97,0.582,0.398,0,0.0182,16.47,0.5,1.55,156.3,-0.05,0.0,1.6,3.7,1.21
18-01-2010,1.0,11.7,19.2,6.4,42.4,5.4,0.1171,19.0,1405.0,2.71,0.528,0.344,0,0.0117,6.83,1.83,0.73,1.2,-0.169,1.0,2.5,4.0,2.03
19-01-2010,0.4,13.4,19.2,9.1,81.2,5.3,0.349,19.3,1489.0,2.85,0.675,0.228,0,0.0413,18.09,1.59,0.12,105.1,0.148,1.4,1.8,4.1,2.12
20-01-2010,0.3,9.4,14.3,5.6,57.6,4.2,0.1841,37.2,1384.0,2.63,0.537,0.422,0,0.0282,12.1,0.23,0.94,204.7,-0.525,1.7,1.8,4.3,2.1
21-01-2010,0.5,12.6,17.1,8.0,49.4,4.8,0.2158,24.1,1437.0,3.42,0.569,0.513,0,0.0015,11.41,3.01,0.05,18.6,-0.224,1.2,2.2,4.6,2.29
22-01-2010,0.1,9.5,15.5,6.1,66.6,3.6,0.3641,31.9,1360.0,3.21,0.649,0.308,1,0.0304,19.41,1.52,0.54,119.9,-0.012,0.9,2.3,4.5,2.04
23-01-2010,0.4,11.5,18.5,5.9,48.8,3.6,0.05,39.8,1465.0,2.88,0.632,0.355,1,0.0055,4.91,0.55,0.22,188.2,0.517,1.0,2.7,4.7,2.14
24-01-2010,0.5,8.4,14.9,3.6,55.7,2.7,0.2858,25.1,1508.0,2.85,0.575,0.567,1,0.0118,15.64,3.46,0.32,300.7,-0.292,1.0,3.2,4.8,2.32
