time,precipitation_sum (mm),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),soil_moisture_0_to_7cm_mean (m³/m³),slope_deg,elevation_m,soil_depth_m,geology_susceptibility,ndvi,land_use,seismic_pga (g),pore_water_pressure (kPa),distance_to_road (km),distance_to_stream (km),aspect_deg,curvature,rain_3d_sum (mm),rain_7d_sum (mm),rain_14d_sum (mm),antecedent_precip_index (mm)
01-01-2010,0.0,16.4,21.5,13.1,54.5,4.4,0.2704,31.5,1532.0,3.04,0.685,0.531,0,0.0033,14.41,2.82,0.55,306.7,0.847,0.0,0.0,0.0,0.0
02-01-2010,0.0,15.6,22.0,12.0,51.4,0.6,0.2007,18.0,1523.0,3.69,0.696,0.468,1,0.0068,9.19,1.05,1.67,10.8,-0.12,0.0,0.0,0.0,0.0
03-01-2010,0.5,17.4,25.4,10.9,60.8,1.8,0.209,35.6,1560.0,2.8,0.757,0.205,0,0.0022,10.3,1.8,1.39,322.0,0.058,0.5,0.5,0.5,0.5
04-01-2010,0.2,16.0,20.8,11.5,50.6,5.5,0.3075,19.9,1620.0,3.28,0.703,0.509,0,0.0022,18.27,1.71,1.02,270.3,-0.133,0.7,0.7,0.7,0.62
05-01-2010,0.7,17.1,21.4,13.3,49.8,18.4,0.2943,21.7,1535.0,3.16,0.768,0.589,0,0.001,16.33,1.73,1.74,356.4,-0.009,1.4,1.4,1.4,1.23
06-01-2010,1.1,16.1,19.8,11.0,52.7,3.5,0.1064,23.0,1493.0,2.62,0.619,0.304,1,0.0008,2.72,0.3,1.31,310.5,-0.205,2.0,2.5,2.5,2.15
07-01-2010,0.4,18.3,21.6,11.4,56.4,7.6,0.1585,24.6,1549.0,2.96,0.659,0.504,1,0.0006,10.32,1.25,0.28,207.6,0.21,2.2,2.9,2.9,2.22
08-01-2010,0.2,15.5,20.5,9.0,59.8,0.9,0.1683,37.5,1570.0,3.0,0.671,0.177,1,0.0061,5.86,7.43,1.23,87.2,-0.54,1.7,3.1,3.1,2.09
09-01-2010,0.3,14.6,18.6,8.0,61.9,9.6,0.2659,16.2,1580.0,3.37,0.642,0.418,3,0.0002,13.29,1.61,0.05,160.4,0.514,0.9,3.4,3.4,2.08
10-01-2010,0.1,16.7,21.6,12.7,56.6,2.9,0.2874,33.7,1527.0,3.63,0.737,0.37,0,0.0008,14.2,1.63,0.2,145.1,-0.546,0.6,3.0,3.5,1.87
11-01-2010,0.5,17.0,23.2,12.1,58.2,6.5,0.1208,21.7,1593.0,2.46,0.712,0.634,1,0.0022,5.41,2.89,0.18,287.3,0.107,0.9,3.3,4.0,2.09
12-01-2010,0.2,16.6,21.9,11.4,56.4,9.7,0.3325,19.0,1566.0,2.75,0.73,0.419,0,0.0041,14.4,0.88,2.05,81.1,-0.102,0.8,2.8,4.2,1.97
