time,precipitation_sum (mm),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),soil_moisture_0_to_7cm_mean (m³/m³),slope_deg,elevation_m,soil_depth_m,geology_susceptibility,ndvi,land_use,seismic_pga (g),pore_water_pressure (kPa),distance_to_road (km),distance_to_stream (km),aspect_deg,curvature,rain_3d_sum (mm),rain_7d_sum (mm),rain_14d_sum (mm),antecedent_precip_index (mm)
01-01-2010,2.2,3.7,9.7,0.1,62.8,10.0,0.1624,36.3,2183.0,2.31,0.662,0.17,0,0.0034,7.92,0.91,0.61,282.7,-0.223,2.2,2.2,2.2,2.2
02-01-2010,1.6,1.2,4.4,-4.2,54.0,9.6,0.1519,46.8,2205.0,2.08,0.691,0.253,0,0.0073,8.51,5.1,0.09,70.6,0.265,3.8,3.8,3.8,3.47
03-01-2010,1.4,3.4,7.8,-2.9,46.5,2.3,0.2259,28.9,2172.0,2.74,0.702,0.512,2,0.0008,8.7,0.13,0.37,117.1,0.33,5.2,5.2,5.2,4.35
04-01-2010,2.7,6.7,12.1,3.2,69.7,8.8,0.1971,44.5,2075.0,2.83,0.654,0.364,0,0.0071,9.6,2.82,0.26,27.7,-0.449,5.7,7.9,7.9,6.4
05-01-2010,0.8,3.0,10.0,-2.5,62.6,6.3,0.2078,39.7,2171.0,2.37,0.63,0.224,2,0.0197,5.32,0.5,0.13,121.5,0.104,4.9,8.7,8.7,6.24
06-01-2010,1.4,4.8,11.3,0.3,59.8,0.9,0.2048,51.7,2196.0,2.62,0.648,0.26,3,0.0028,9.11,2.61,0.46,227.6,0.232,4.9,10.1,10.1,6.7
07-01-2010,2.3,8.4,15.6,4.1,77.1,9.2,0.0759,32.5,2153.0,2.69,0.604,0.586,3,0.0015,3.77,2.16,1.7,199.9,0.167,4.5,12.4,12.4,8.0
08-01-2010,0.3,4.4,11.9,-2.2,45.6,11.2,0.2418,34.4,2219.0,2.64,0.616,0.428,0,0.0229,12.53,2.35,1.06,80.7,-0.365,4.0,10.5,12.7,7.1
09-01-2010,0.7,5.6,12.3,0.0,64.2,9.6,0.1804,26.0,2162.0,2.17,0.646,0.441,3,0.01,14.7,1.36,0.22,260.1,0.028,3.3,9.6,13.4,6.73
10-01-2010,0.6,5.0,12.8,-1.7,58.8,8.5,0.1323,19.9,2184.0,2.84,0.661,0.251,3,0.0119,7.26,9.22,0.15,186.6,-0.243,1.6,8.8,14.0,6.32
11-01-2010,2.0,5.1,11.6,0.7,69.1,3.0,0.2412,62.8,2235.0,2.95,0.698,0.478,3,0.0041,12.99,0.1,0.63,195.4,-0.257,3.3,8.1,16.0,7.37
12-01-2010,2.5,0.8,4.0,-5.5,51.1,3.8,0.1428,37.4,2169.0,2.59,0.652,0.322,1,0.0101,7.92,0.78,1.59,97.5,0.133,5.1,9.8,18.5,8.77
13-01-2010,0.8,3.8,11.6,-2.5,52.3,14.6,0.162,26.8,2294.0,2.66,0.587,0.51,3,0.0134,5.69,0.57,0.44,272.8,0.553,5.3,9.2,19.3,8.25
14-01-2010,2.1,5.5,9.0,0.5,47.1,4.6,0.3306,20.6,2184.0,2.55,0.722,0.228,1,0.0194,16.76,1.76,2.82,207.2,0.018,5.4,9.0,21.4,9.11
15-01-2010,4.2,1.5,7.2,-5.3,64.4,4.6,0.2225,27.0,2196.0,2.3,0.621,0.502,0,0.0119,13.11,3.25,0.33,63.9,0.174,7.1,12.9,23.4,11.95
16-01-2010,2.6,5.2,10.3,0.7,53.3,11.0,0.1826,40.8,2247.0,2.83,0.715,0.403,0,0.0226,9.37,5.99,3.01,206.4,-0.184,8.9,14.8,24.4,12.76
17-01-2010,0.8,8.2,12.8,2.5,67.7,8.1,0.199,24.8,2210.0,2.23,0.699,0.382,0,0.0012,11.42,0.21,0.09,252.3,0.407,7.6,15.0,23.8,11.64
18-01-2010,1.1,4.5,12.4,0.0,71.5,3.4,0.1425,30.3,2222.0,3.09,0.693,0.381,0,0.0068,6.09,0.25,0.13,233.7,-0.014,4.5,14.1,22.2,11.0
19-01-2010,2.2,7.1,12.0,3.0,56.6,7.0,0.2179,32.1,2211.0,2.19,0.651,0.46,1,0.0119,13.96,4.63,0.05,101.1,0.545,4.1,13.8,23.6,11.55
20-01-2010,5.6,2.4,6.3,-2.5,70.3,0.8,0.2273,47.0,2254.0,2.27,0.605,0.459,3,0.0173,14.53,1.08,2.7,311.8,0.443,8.9,18.6,27.8,15.41
21-01-2010,3.3,3.1,6.9,-2.3,63.4,4.7,0.1908,41.9,2126.0,2.26,0.65,0.406,2,0.029,9.9,0.28,3.08,218.2,-0.48,11.1,19.8,28.8,16.4
22-01-2010,2.5,1.8,6.6,-1.7,62.4,17.9,0.2943,32.5,2309.0,3.2,0.638,0.517,0,0.0003,18.44,0.48,0.15,5.2,0.263,11.4,18.1,31.0,16.44
23-01-2010,3.1,0.5,5.7,-6.1,62.0,0.4,0.3303,21.0,2121.0,2.48,0.669,0.396,1,0.004,17.2,0.28,0.14,54.7,-0.023,8.9,18.6,33.4,17.08
24-01-2010,2.0,2.1,6.8,-4.5,80.6,3.9,0.1576,25.7,2201.0,2.09,0.622,0.256,1,0.0117,9.51,0.17,2.07,331.5,0.361,7.6,19.8,34.8,16.51
25-01-2010,1.4,3.6,10.3,-0.1,54.5,1.6,0.0788,42.9,2288.0,2.4,0.679,0.437,1,0.0076,7.41,0.56,0.31,135.8,-0.737,6.5,20.1,34.2,15.44
26-01-2010,0.9,1.8,9.3,-3.6,70.6,8.0,0.2062,25.1,2282.0,2.72,0.598,0.377,0,0.0045,6.75,8.61,0.93,85.4,0.282,4.3,18.8,32.6,14.02
27-01-2010,0.9,3.0,7.4,-0.7,35.0,8.1,0.1809,24.7,2177.0,2.8,0.675,0.283,3,0.0081,11.18,0.41,0.39,153.2,-0.229,3.2,14.1,32.7,12.82
28-01-2010,0.3,4.1,10.2,-0.1,48.6,6.1,0.1479,32.4,2163.0,2.35,0.7,0.331,0,0.0114,6.04,1.06,0.43,334.6,0.73,2.1,11.1,30.9,11.2
29-01-2010,2.0,2.8,6.7,-0.5,64.9,14.0,0.227,28.7,2182.0,2.33,0.67,0.349,1,0.0074,11.41,3.39,0.58,135.7,0.284,3.2,10.6,28.7,11.52
30-01-2010,0.2,3.3,8.8,-0.6,57.6,8.9,0.2188,38.2,2132.0,2.96,0.667,0.35,1,0.0076,10.03,0.75,0.29,267.8,0.121,2.5,7.7,26.3,9.99
31-01-2010,1.6,3.0,10.4,-1.4,72.9,3.5,0.2606,24.6,2249.0,3.04,0.671,0.625,0,0.0042,13.85,1.02,0.62,341.0,0.251,3.8,7.3,27.1,10.09
01-02-2010,2.1,2.7,8.8,-0.4,77.8,7.7,0.1368,35.8,2300.0,3.04,0.73,0.339,3,0.026,12.55,1.02,0.06,120.7,0.157,3.9,8.0,28.1,10.68
02-02-2010,0.7,1.7,9.3,-2.7,72.7,2.5,0.1792,20.0,2194.0,2.39,0.515,0.393,3,0.0045,7.14,6.49,0.16,149.3,0.155,4.4,7.8,26.6,9.78
03-02-2010,7.7,5.1,11.8,1.3,58.9,5.6,0.1974,27.7,2170.0,2.54,0.637,0.58,1,0.0058,9.82,0.4,1.98,340.6,0.061,10.5,14.6,28.7,16.01
04-02-2010,0.4,3.4,8.4,0.3,64.9,2.6,0.2577,23.0,2180.0,2.7,0.589,0.486,0,0.0028,13.47,1.01,1.1,73.8,0.076,8.8,14.7,25.8,14.01
05-02-2010,2.6,4.4,7.8,0.6,43.3,15.4,0.1582,40.4,2171.0,1.94,0.572,0.473,1,0.0053,5.18,5.93,1.44,50.4,-0.163,10.7,15.3,25.9,14.51
06-02-2010,1.6,7.2,14.2,2.5,81.6,8.1,0.2137,30.5,2207.0,2.64,0.623,0.307,0,0.0246,7.91,1.62,1.05,298.7,0.166,4.6,16.7,24.4,13.93
07-02-2010,2.0,7.0,13.3,3.3,58.4,8.8,0.15,32.2,2232.0,2.21,0.659,0.309,0,0.0049,10.78,0.71,0.84,171.4,-0.265,6.2,17.1,24.4,13.84
08-02-2010,2.4,5.4,9.5,2.3,66.1,1.1,0.4048,31.2,2263.0,2.22,0.648,0.612,1,0.0057,21.96,2.37,0.32,212.5,0.16,6.0,17.4,25.4,14.16
09-02-2010,0.9,4.5,8.2,-2.3,46.8,4.2,0.2304,36.9,2234.0,2.93,0.692,0.455,0,0.0067,13.43,0.1,1.2,107.0,0.04,5.3,17.6,25.4,12.94
10-02-2010,1.6,6.4,13.6,2.1,45.9,7.2,0.2178,28.2,2269.0,2.14,0.641,0.347,1,0.0156,13.11,1.91,0.27,8.8,0.085,4.9,11.5,26.1,12.6
